ranking,flight_date,airline_code,airline_name,total_flights
6,2010-01-13,US,US Airways Inc.,46
7,2010-01-13,XE,ExpressJet Airlines Inc. (1),35
8,2010-01-13,EV,ExpressJet Airlines Inc.,33
9,2010-01-13,9E,Endeavor Air Inc.,32
10,2010-01-13,UA,United Air Lines Inc.,31
11,2010-01-13,CO,Continental Air Lines Inc.,25
12,2010-01-13,FL,AirTran Airways Corporation,24
13,2010-01-13,YV,Mesa Airlines Inc.,20
14,2010-01-13,B6,JetBlue Airways,20
15,2010-01-13,OH,Comair Inc.,14
16,2010-01-13,AS,Alaska Airlines Inc.,14
17,2010-01-13,F9,Frontier Airlines Inc.,9
18,2010-01-13,HA,Hawaiian Airlines Inc.,6
1,2010-01-14,WN,Southwest Airlines Co.,124
2,2010-01-14,DL,Delta Air Lines Inc.,77
3,2010-01-14,AA,American Airlines Inc.,77
4,2010-01-14,OO,SkyWest Airlines Inc.,65
5,2010-01-14,US,US Airways Inc.,47
6,2010-01-14,MQ,Envoy Air,44
7,2010-01-14,XE,ExpressJet Airlines Inc. (1),40
8,2010-01-14,UA,United Air Lines Inc.,37
9,2010-01-14,EV,ExpressJet Airlines Inc.,36
10,2010-01-14,YV,Mesa Airlines Inc.,27
11,2010-01-14,CO,Continental Air Lines Inc.,27
12,2010-01-14,FL,AirTran Airways Corporation,26
13,2010-01-14,9E,Endeavor Air Inc.,26
14,2010-01-14,B6,JetBlue Airways,21
15,2010-01-14,OH,Comair Inc.,16
16,2010-01-14,AS,Alaska Airlines Inc.,14
17,2010-01-14,F9,Frontier Airlines Inc.,8
18,2010-01-14,HA,Hawaiian Airlines Inc.,6
1,2010-01-15,WN,Southwest Airlines Co.,125
2,2010-01-15,DL,Delta Air Lines Inc.,82
3,2010-01-15,OO,SkyWest Airlines Inc.,64
4,2010-01-15,AA,American Airlines Inc.,59
5,2010-01-15,MQ,Envoy Air,50
6,2010-01-15,US,US Airways Inc.,47
7,2010-01-15,UA,United Air Lines Inc.,40
8,2010-01-15,XE,ExpressJet Airlines Inc. (1),40
9,2010-01-15,EV,ExpressJet Airlines Inc.,38
10,2010-01-15,9E,Endeavor Air Inc.,30
11,2010-01-15,FL,AirTran Airways Corporation,27
12,2010-01-15,CO,Continental Air Lines Inc.,27
13,2010-01-15,YV,Mesa Airlines Inc.,26
14,2010-01-15,B6,JetBlue Airways,22
15,2010-01-15,OH,Comair Inc.,15
16,2010-01-15,AS,Alaska Airlines Inc.,14
17,2010-01-15,HA,Hawaiian Airlines Inc.,9
18,2010-01-15,F9,Frontier Airlines Inc.,9
